transaction_date|customer_code|product_description|invoice_no
20150301|94072|AFSSWI1115:DARK BROWN:L|2073-102-1022198-2015-03-01
20150301|94072|GRSU1113FS:LIGHT GREY:38|2073-102-1022198-2015-03-01
20150301|9272|WFC-01:EMERALD:XL16|2073-105-1057581-2015-03-01
20150301|93470|BD-WGT-03:INK:2-3 Y|2157-102-1022642-2015-03-01
20150302|56800|BPHPA1101:TERACOTTA:S|2003-107-1077561-2015-03-02
20150302|56800|S12MFBSR03:YELLOW:8-9 Y|2003-107-1077561-2015-03-02
20150302|56800|FB-JKT:PURPLE:2-3 Y|2003-107-1077561-2015-03-02
20150302|84203|FHYWI1103CD:BURGUNDY:M|2046-103-1030958-2015-03-02
20150302|84203|BD-SL05:GREEN:7-8 Y|2046-103-1030958-2015-03-02
20150302|84203|SL-MF5GX:IVORY:18-24 M|2046-103-1030958-2015-03-02
20150302|87900|NMA-11:FUCHSIA:XS8|2073-104-1047660-2015-03-02
20150302|54003|WICRIMSONROSELLASTP:GREEN:S10|2081-102-1021574-2015-03-02
20150302|54003|BOWI101FS:PEACHAPRICOT:44|2081-102-1021574-2015-03-02
20150302|24500|AIWI109SP:DARK GREEN:M|2093-101-1019832-2015-03-02
20150302|68003|SPRT-10:VIOLET:XL16|2119-102-1026206-2015-03-02
20150302|68003|SP11-610Y:YELLOW:M12|2119-102-1026206-2015-03-02
20150302|31403|PDTWX1006-7:BROWN:36|2119-103-1037871-2015-03-02
20150302|49303|SADDSP1110:RUSTCORAL:XL|2139-103-1038633-2015-03-02
20150302|24803|63960:NAVY:33|2157-102-1022831-2015-03-02
20150302|24803|INDG-02:TURQUOISE:M12|2157-102-1022842-2015-03-02
20150302|24803|SADCPA1110:LIGHT BLUE:M|2157-102-1022842-2015-03-02
20150302|91400|ET-WWT22Y:MIXED (2 CLR):2-3 Y|2204-104-1047831-2015-03-02
20150302|91400|NGACS-612Y:BROWN:1028|2204-104-1047831-2015-03-02
20150302|91400|CASLSP1101:BLACK:S|2204-104-1047831-2015-03-02
20150302|91400|ABFSSP1201:CHARCOAL:42|2204-104-1047831-2015-03-02
20150302|91400|SP12-0B-13:OPAL:XS8|2204-104-1047831-2015-03-02
20150302|91400|HPPKSM1003CD:WHITE:L|2204-104-1047831-2015-03-02
20150302|91400|HL-39-2115:NAVY:3-6 M|2204-104-1047831-2015-03-02
20150302|91400|SPYCP-09:MINT:XS8|2204-104-1047831-2015-03-02
20150302|91400|CASLWI1102:BLACK:XL|2204-104-1047831-2015-03-02
20150303|72701|WSHT-03:MIXED (2 CLR):7-8 Y|2003-104-1048135-2015-03-03
20150303|72701|STSLPA1107CD:GREEN:M|2003-104-1048135-2015-03-03
